S.NO.,COLLEGE NAME,PROGRAM NAME,UR,OBC,SC,ST,EWS,PwBD,
1,Acharya Narendra Dev College,B.Com (Hons.),741.7355297,591.5148212,509.738252,307.3793305,629.8035234,364.8609327,
2,Acharya Narendra Dev College,B.Sc (Hons.) Biomedical Science,591.1422895,512.3533607,438.5571106,369.6123935,493.3660477,112.407306,
3,Acharya Narendra Dev College,B.Sc (Hons.) Botany,501.6979696,431.6434362,356.8961674,322.4662411,423.7538792,278.561065,
4,Acharya Narendra Dev College,B.Sc (Hons.) Chemistry,349.4427252,292.6822182,202.3417963,56.1108895,290.9367706,, 
5,Acharya Narendra Dev College,B.Sc (Hons.) Computer Science,631.5657585,533.1901404,454.720755,331.1577395,548.8684346,172.6171434,
6,Acharya Narendra Dev College,B.Sc (Hons.) Electronics,332.8557566,256.6817726,176.8209036,45.6737544,266.8689102,,
7,Acharya Narendra Dev College,B.Sc (Hons.) Physics,357.4142555,291.1084245,191.6542578,120.8794726,285.8641285,,
8,Acharya Narendra Dev College,B.Sc (Hons.) Zoology,529.5215181,457.3831706,394.4412948,340.2113417,443.5846988,139.8129263,
9,Acharya Narendra Dev College,B.Sc (Prog.) Life Science,502.9223573,434.6788915,352.6017453,316.9925714,418.0775336,,
10,Acharya Narendra Dev College,B.Sc (Hons.) Mathematics,561.69673,452.3274302,361.0569172,138.259921,471.8297179,,
11,Acharya Narendra Dev College,B.Sc (Prog.) Physical Science with Chemistry,267.0248347,206.6802882,122.199766,88.2529836,204.7414432,,
12,Acharya Narendra Dev College,B.Sc (Prog.) Physical Science with Computer Science/ Informatics Practices,315.0105612,243.9169762,182.2831052,83.0490943,236.7085807,,
13,Acharya Narendra Dev College,B.Sc (Prog.) Physical Science with Electronics,270.8525636,195.1252726,110.5386229,75.630203,199.3570938,,
14,Aditi Mahavidyalaya (W),B.A. (Hons.) Geography,606.5481067,497.3980943,443.5955212,422.3760087,384.6108605,,
15,Aditi Mahavidyalaya (W),B.A. (Hons.) Hindi Patrakarita,352.3420527,145.0906576,207.9536122,343.8518048,262.1529676,186.312188,
16,Aditi Mahavidyalaya (W),B.A. (Hons.) Social Work,528.4188715,371.0657875,253.8755564,172.9752028,226.8693359,,
17,Aditi Mahavidyalaya (W),B.Com (Hons.),692.9472833,521.3742681,442.9726416,115.5306851,518.1780844,,
18,Aditi Mahavidyalaya (W),B.Com,661.5646331,495.7887506,401.5991705,367.6105384,493.3593493,,
19,Aditi Mahavidyalaya (W),Bachelor of Elementary Education (B.El.Ed.),581.8751708,464.0997331,466.2025219,292.6660698,425.4226655,,
20,Aditi Mahavidyalaya (W),B.A Program (Hindi + NHE),453.8150953,274.8910609,199.1257603,171.344125,266.7337351,,
21,Aditi Mahavidyalaya (W),B.A Program (Hindi + OMSP),440.8493657,264.9569579,153.0161608,,254.3564053,,
22,Aditi Mahavidyalaya (W),B.A Program (Hindi + Political Science),503.8999208,354.7585943,361.9685056,,108.3965116,,
23,Aditi Mahavidyalaya (W),B.A Program (Sanskrit + History),140.4306566,,,,,,
24,Aditi Mahavidyalaya (W),B.A Program (Sanskrit + Music),278.6261288,,,,,,
25,Aditi Mahavidyalaya (W),B.A Program (Sanskrit + Political Science),162.9035247,,,,,,
26,Aditi Mahavidyalaya (W),"B.A Program (Advertising, Sales Promotion and Sales Management (ASPSM) + Economics)",629.3511503,461.4640249,365.1941231,243.7924321,421.2619529,,
27,Aditi Mahavidyalaya (W),"B.A Program (Advertising, Sales Promotion and Sales Management (ASPSM) + Mathematics)",537.6780967,324.2941729,153.0662875,,185.8066,,
28,Aditi Mahavidyalaya (W),B.A Program (Economics + Mathematics),621.3893874,372.9395995,140.7013364,,279.7130723,,
29,Aditi Mahavidyalaya (W),B.A Program (Economics + Psychology),681.1083012,510.0905329,491.9167063,411.6078808,421.6100116,,
30,Aditi Mahavidyalaya (W),B.A Program (Food Technology (FT) +Geography),547.0675796,368.6865019,318.5872523,230.4380239,319.6188063,,
31,Aditi Mahavidyalaya (W),B.A Program (Geography + History),568.0282126,431.5212077,390.6810206,460.645658,403.4859095,,
32,Aditi Mahavidyalaya (W),B.A Program (Human Development and Family Empowerment (HDFE) + Political Science),495.5766573,271.6825249,212.4859595,264.2982915,152.0848096,,
33,Aditi Mahavidyalaya (W),B.A Program (Mathematics + Psychology),528.7661713,317.2050251,186.8923947,326.2172463,261.4845751,,
34,Aditi Mahavidyalaya (W),B.A Program (Music + Sociology),445.9442697,207.6002604,188.3740391,430.0387587,338.0067004,,
35,Aditi Mahavidyalaya (W),B.A Program (NHE + Sociology),489.9040944,267.8701317,181.1835524,101.44522,267.9676119,,
36,Aditi Mahavidyalaya (W),B.A Program (Office Management & Secretarial Practice (OMSP) + Sociology),521.7835941,332.1161952,191.9621593,,195.5530577,,
37,Aditi Mahavidyalaya (W),B.A Program (Political Science + Sociology),578.6224785,392.0896088,356.7356331,343.1914463,277.1507885,,
38,Aditi Mahavidyalaya (W),B.A Program (Economics + Food Technology),566.4791447,416.411098,325.7878504,321.6555445,376.3413352,,
39,Aditi Mahavidyalaya (W),B.A Program (Education + Political Science),507.8075237,357.4866295,293.5136828,99.8379655,193.3465742,,
40,Aditi Mahavidyalaya (W),B.A Program (Education + Human Development and Family Empowerment(HDFE)),529.6278565,375.8452291,314.2326284,181.1264663,211.1700127,304.9637464,
41,Aditi Mahavidyalaya (W),B.A Program (Education + Geography),529.7885764,368.1241333,317.4825292,215.8012796,165.8893627,,
42,Aryabhatta College,B.A. (Hons.) Economics,751.8966907,524.1016624,429.5124663,158.5561849,548.3391355,,
43,Aryabhatta College,B.A. (Hons.) English,696.0251072,557.1106869,501.5460235,495.8567054,547.6397831,253.3399333,
44,Aryabhatta College,B.A. (Hons.) Hindi,439.6417952,331.5259609,312.9011132,,166.393981,,
45,Aryabhatta College,B.A. (Hons.) History,707.3178897,582.6234141,515.1187791,498.492209,571.1924308,334.2990854,
46,Aryabhatta College,B.A. (Hons.) Political Science,741.6835005,668.5927556,585.4438979,554.6465181,656.492797,36.8324183,
47,Aryabhatta College,B.Sc (Hons.) Computer Science,626.7114676,540.2728371,439.089366,354.8924749,552.0544452,270.6149229,
48,Aryabhatta College,B.Sc (Hons.) Mathematics,601.5368209,471.3909592,355.7121152,237.1602412,469.7180471,,
49,Aryabhatta College,B.A. (Hons.) Psychology,837.8774286,671.5607672,662.9209463,618.3476057,656.4160407,558.5698966,
50,Aryabhatta College,B.Com,780.3800532,659.9296459,564.8122788,468.1014363,706.4496812,356.2611865,
51,Aryabhatta College,B.Com (Hons.),808.2489095,702.1935647,614.6217594,570.8070108,753.8134026,,
52,Aryabhatta College,Bachelor of Management Studies (BMS),472.0593144,355.3127795,299.5415075,118.2239469,383.8039074,193.5323387,
53,Aryabhatta College,B.A. (Hons.) Business Economics,445.5407278,300.2689167,229.1248952,270.3784384,323.7993497,403.05766,
54,Aryabhatta College,B.A Program (History + Political Science),676.9578034,574.186892,527.3622517,506.2263395,561.9729985,432.227006,
55,Aryabhatta College,B.A Program (Economics + Mathematics),692.2267136,460.290958,343.1998991,267.6328623,456.9138483,,
56,Aryabhatta College,B.A Program (English + Psychology),748.4387162,586.6683431,566.9524895,560.1635145,594.8287052,275.3427751,
57,Atma Ram Sanatan Dharma College,B.Com,821.0671847,726.0004349,654.6489055,529.2424344,771.4477784,189.0046528,
58,Atma Ram Sanatan Dharma College,B.Com (Hons.),846.3707484,768.1747922,697.7635776,600.64235,814.205762,222.0562849,
59,Atma Ram Sanatan Dharma College,B.A. (Hons.) English,776.7158472,675.4473671,614.2814611,598.3820301,700.9623772,364.7852448,
60,Atma Ram Sanatan Dharma College,B.A. (Hons.) Hindi,444.0941563,356.4833355,364.7483807,181.3078124,173.9801669,,
61,Atma Ram Sanatan Dharma College,B.A. (Hons.) History,798.0344317,747.0459261,677.2841909,630.6087726,737.9460058,426.9062768,
62,Atma Ram Sanatan Dharma College,B.A. (Hons.) Political Science,823.8564962,770.8587347,705.7440615,685.6727177,781.8972586,533.4405498,
63,Atma Ram Sanatan Dharma College,B.A. (Hons.) Economics,793.9463506,604.9181377,510.2503534,315.8721212,650.3229808,,
64,Atma Ram Sanatan Dharma College,B.Sc (Hons.) Physics,417.7083097,360.0316339,235.1812512,113.5638407,359.040128,,
65,Atma Ram Sanatan Dharma College,B.Sc (Hons.) Chemistry,398.6968947,342.6086872,245.7075247,121.8133606,337.3626217,,
66,Atma Ram Sanatan Dharma College,B.Sc (Hons.) Mathematics,666.1571336,532.0654905,432.3089341,288.0497328,524.7027492,,
67,Atma Ram Sanatan Dharma College,B.Sc (Hons.) Electronics,405.7542638,338.0456716,253.1077996,124.1071455,329.8072338,,
68,Atma Ram Sanatan Dharma College,B.Sc (Hons.) Computer Science,695.4216918,627.4229857,513.7045049,395.0361093,629.2231452,241.2398306,
69,Atma Ram Sanatan Dharma College,B.Sc (Prog.) Physical Science with Chemistry,306.9273601,264.221276,161.1216429,179.4602764,272.250127,,
70,Atma Ram Sanatan Dharma College,Electronics,305.4049112,253.6317492,149.2157167,29.2130746,246.5582008,,
71,Atma Ram Sanatan Dharma College,Science/ Informatics Practices,383.4174827,315.8036518,225.7395241,118.3325721,328.9092701,,
72,Atma Ram Sanatan Dharma College,Industrial Chemistry,289.0193778,232.0630119,133.3786005,90.7791446,233.2820523,,
73,Atma Ram Sanatan Dharma College,B.A Program (Sanskrit + Any other discipline  subject from (English/Hindi/Sanskrit/Political Sc./Economics/Mathematics/Comp. App./History)) ,634.7489449,475.0541409,378.2988192,,372.0923372,,
74,Atma Ram Sanatan Dharma College,B.A Program (Computer Applications + Any other discipline subject from (English/Hindi/Sanskrit/Political Sc./Economics/Mathematics/Comp. App./History)) ,778.5067124,635.7669253,571.8644257,552.67611,670.2151748,,
75,Atma Ram Sanatan Dharma College,B.A Program (Mathematics + Any other discipline subject from (English/Hindi/Sanskrit/Political Sc./Economics/Mathematics/Comp. App./History)),780.8334175,667.3944021,470.030623,483.3076409,535.5466167,,
76,Atma Ram Sanatan Dharma College,B.A Program (English + Any other discipline subject from (English/Hindi/Sanskrit/Political Sc./Economics/Mathematics/Comp. App./History)),799.3849957,729.3297133,629.6454396,594.0699013,710.3340105,644.4162905,
77,Atma Ram Sanatan Dharma College,B.A Program (Hindi + Any other discipline subject from (English/Hindi/Sanskrit/Political Sc./Economics/Mathematics/Comp. App./History)),737.5001061,663.6525568,610.3694999,478.2934297,653.9538636,315.0527648,
78,Atma Ram Sanatan Dharma College,B.A Program (Any two disciplines from (History/Political Sc./Economics)),780.334444,699.8010356,632.7641301,605.5198901,743.1396511,448.2468871,
79,Bhagini Nivedita College (W),B.Com,650.2286603,470.1390736,366.6926772,,482.6961717,,
80,Bhagini Nivedita College (W),B.A. (Hons.) Hindi,307.459805,156.9014316,111.7276374,,214.6820708,,
81,Bhagini Nivedita College (W),B.A. (Hons.) History,572.9085827,413.1377505,383.3064578,286.8506379,288.7511205,,
82,Bhagini Nivedita College (W),B.Sc (Hons.) Physics,293.3387894,213.5392743,105.5239147,,206.939357,,
83,Bhagini Nivedita College (W),B.Sc (Hons.) Home Science,392.5341378,313.4952955,258.6992713,222.056234,288.5348599,,
